gene_id	total_count	dup_count	dup_rate	rpk	log2_rpk
YKR054C	10	1	0.1000	0.814	0.859
YLR106C	16	2	0.1250	1.086	1.061
YKL203C	11	0	0.0000	1.481	1.311
YLR087C	14	0	0.0000	1.577	1.366
YGR271W	10	4	0.4000	1.694	1.430
YHR165C	13	0	0.0000	1.795	1.483
YBR136W	13	1	0.0769	1.829	1.500
YKR031C	10	1	0.1000	1.979	1.575
YPR117W	15	1	0.0667	2.008	1.589
YMR219W	10	1	0.1000	2.009	1.589
YOR093C	10	1	0.1000	2.021	1.595
YNL271C	12	2	0.1667	2.047	1.607
YOR192C-B	11	2	0.1818	2.070	1.618
YCR089W	10	0	0.0000	2.070	1.618
YDR098C-B	11	2	0.1818	2.088	1.627
YPL085W	14	3	0.2143	2.125	1.644
YBL004W	16	1	0.0625	2.138	1.650
YBL088C	18	2	0.1111	2.152	1.656
YHR164C	10	1	0.1000	2.189	1.673
YBL034C	10	2	0.2000	2.202	1.679
YOR191W	11	2	0.1818	2.263	1.706
YBR097W	10	3	0.3000	2.291	1.719
YLR086W	10	0	0.0000	2.349	1.744
YCR042C	10	2	0.2000	2.367	1.752
YIL149C	12	1	0.0833	2.381	1.757
YDR420W	13	0	0.0000	2.403	1.767
YER164W	11	1	0.0909	2.496	1.806
YER093C	11	1	0.0909	2.562	1.833
YOL075C	10	1	0.1000	2.574	1.838
YDR407C	10	3	0.3000	2.584	1.842
YDR545W	14	1	0.0714	2.597	1.847
YDL058W	14	1	0.0714	2.606	1.850
YER172C	17	1	0.0588	2.619	1.855
YFR019W	18	3	0.1667	2.633	1.861
YCL014W	13	3	0.2308	2.647	1.867
YGR098C	13	2	0.1538	2.657	1.871
YOR291W	12	0	0.0000	2.716	1.894
YAL029C	12	2	0.1667	2.717	1.894
YHR080C	11	1	0.0909	2.724	1.897
YLR084C	10	4	0.4000	2.730	1.899
YER008C	11	1	0.0909	2.742	1.904
YBR081C	11	0	0.0000	2.751	1.907
YDR283C	14	1	0.0714	2.811	1.930
YPL137C	11	0	0.0000	2.871	1.953
YGL133W	11	1	0.0909	2.899	1.963
YLR454W	23	0	0.0000	2.916	1.969
YHL035C	14	4	0.2857	2.929	1.974
YBR245C	10	0	0.0000	2.950	1.982
YPL115C	10	0	0.0000	2.952	1.983
YJR066W	22	3	0.1364	2.968	1.988
YER176W	10	1	0.1000	2.971	1.989
YCR073C	12	0	0.0000	3.003	2.001
YOR109W	10	0	0.0000	3.008	2.003
YGR109W-B	14	0	0.0000	3.014	2.005
YLR227W-B	16	6	0.3750	3.037	2.013
YNL284C-B	16	2	0.1250	3.037	2.013
YDR217C	12	1	0.0833	3.053	2.019
YGL016W	10	1	0.1000	3.081	2.029
YHR119W	10	2	0.2000	3.084	2.030
YPL217C	11	1	0.0909	3.097	2.035
YGR233C	11	1	0.0909	3.110	2.039
YBR275C	18	4	0.2222	3.130	2.046
YGR270W	13	0	0.0000	3.140	2.050
YHR158C	11	2	0.1818	3.147	2.052
YOR336W	13	2	0.1538	3.172	2.061
YDL077C	10	2	0.2000	3.175	2.062
YML059C	16	3	0.1875	3.175	2.062
YAL051W	10	1	0.1000	3.181	2.064
YJR033C	13	3	0.2308	3.191	2.067
YMR317W	11	2	0.1818	3.214	2.075
YIL129C	23	2	0.0870	3.225	2.079
YIL128W	10	1	0.1000	3.227	2.080
YGL151W	11	1	0.0909	3.236	2.083
YJL129C	12	3	0.2500	3.236	2.083
YKL105C	11	0	0.0000	3.236	2.083
YFR016C	12	0	0.0000	3.241	2.085
YDR326C	14	2	0.1429	3.243	2.085
YLL040C	31	6	0.1935	3.286	2.100
YKL173W	10	1	0.1000	3.304	2.106
YMR176W	14	6	0.4286	3.305	2.106
YJR031C	14	2	0.1429	3.312	2.108
YBR150C	11	1	0.0909	3.349	2.121
YEL025C	12	2	0.1667	3.364	2.126
YJR035W	11	3	0.2727	3.376	2.130
YDR034C-D	18	1	0.0556	3.387	2.133
YHR186C	16	1	0.0625	3.423	2.145
YOR160W	10	2	0.2000	3.426	2.146
YIR023W	10	0	0.0000	3.433	2.148
ICR1	11	2	0.1818	3.439	2.150
YJL197W	13	3	0.2308	3.453	2.155
YJL005W	21	2	0.0952	3.453	2.155
YDR457W	34	6	0.1765	3.467	2.159
YDR128W	12	2	0.1667	3.481	2.164
YDR443C	15	3	0.2000	3.519	2.176
YML104C	12	1	0.0833	3.546	2.185
YNR065C	12	2	0.1667	3.581	2.196
YNL163C	12	1	0.0833	3.600	2.202
