gene_id	chrom	start	end	strand	unique_count	effective_count
YAL069W	I	335	649	+	2	2.000
YAL068W-A	I	538	792	+	0	0.000
YAL068C	I	1807	2169	-	0	0.000
YAL067W-A	I	2480	2707	+	0	0.000
YAL067C	I	7235	9016	-	0	0.000
YAL066W	I	10091	10399	+	0	0.000
YAL065C	I	11565	11951	-	0	0.000
YAL064W-B	I	12046	12426	+	0	0.000
YAL064C-A	I	13363	13743	-	0	0.000
YAL064W	I	21566	21850	+	0	0.000
YAL063C-A	I	22395	22685	-	0	0.000
YAL063C	I	24000	27968	-	7	7.000
YAL062W	I	31567	32940	+	24	24.000
YAL061W	I	33448	34701	+	47	47.000
YAL060W	I	35155	36303	+	72	72.000
YAL059C-A	I	36496	36918	-	0	0.000
YAL059W	I	36509	37147	+	5	5.000
YAL058W	I	37464	38972	+	13	13.000
YAL056C-A	I	38696	39046	-	0	0.000
YAL056W	I	39259	41901	+	24	24.000
YAL055W	I	42177	42719	+	2	2.000
YAL054C	I	42881	45022	-	1900	1900.692
YAL053W	I	45899	48250	+	114	114.000
YAL051W	I	48564	51707	+	10	10.000
YAL049C	I	51855	52595	-	66	66.880
YAL048C	I	52801	54789	-	9	9.120
YAL047W-A	I	54584	54913	+	0	0.000
YAL047C	I	54989	56857	-	2	2.000
YAL046C	I	57029	57385	-	13	13.000
YAL045C	I	57488	57796	-	0	0.000
YAL044W-A	I	57518	57850	+	28	28.000
YAL044C	I	57950	58462	-	36	36.000
YAL043C	I	58695	61052	-	25	25.000
YAL042C-A	I	61231	61608	-	0	0.000
YAL042W	I	61316	62563	+	67	67.000
YAL041W	I	62840	65404	+	15	15.000
YAL040C	I	65778	67520	-	18	18.000
YAL039C	I	68716	69525	-	42	42.000
YAL038W	I	71786	73288	+	731	731.000
YAL037C-B	I	72326	73300	-	17	17.000
YAL037C-A	I	73426	73518	-	1	1.000
YAL037W	I	74020	74823	+	6	6.000
YAL036C	I	75043	76152	-	7	7.000
YAL035W	I	76427	79435	+	39	39.000
YAL034C-B	I	79489	79842	-	0	0.000
YAL034W-A	I	79718	80587	+	4	4.000
YAL034C	I	80710	81951	-	56	56.000
YAL033W	I	82706	83227	+	7	7.000
YAL032C	I	83335	84474	-	10	10.000
YAL031W-A	I	84669	84977	+	1	1.000
YAL031C	I	84749	87031	-	14	14.000
YAL030W	I	87286	87752	+	40	40.000
YAL029C	I	87855	92270	-	12	12.000
YAL028W	I	92900	94486	+	11	11.000
YAL027W	I	94687	95472	+	19	19.000
YAL026C-A	I	95386	95823	-	0	0.000
YAL026C	I	95630	99697	-	16	19.000
HRA1	I	99305	99868	+	0	0.000
