chrom	intron_start_1based	intron_end_1based	category	n_supporting_reads
I	142254	142619	known	10
VII	364964	365431	complete_novel	40
XV	240947	241024	complete_novel	4
XVI	795030	795394	known	12
II	393181	393510	known	36
XV	505938	506338	known	38
VI	143478	151828	complete_novel	1
XVI	883388	883486	known	21
VIII	104406	104803	known	24
XIII	223381	223781	known	11
VII	859261	859473	known	8
VI	54378	54686	known	64
X	91095	91411	known	34
V	196586	196611	complete_novel	1
XIII	499878	500150	complete_novel	37
XVI	582559	582701	known	12
IV	230020	230320	known	77
XVI	345445	345596	known	8
XI	94060	94149	complete_novel	2
XIV	501157	501502	complete_novel	2
IV	569634	569723	known	4
XI	432035	432432	known	51
XII	242322	242680	known	9
II	125155	125270	known	2
XI	283096	283421	known	12
VII	150184	150525	complete_novel	14
VIII	107832	107894	known	3
XIII	732466	732875	known	12
II	679943	680039	known	3
IV	601378	601485	complete_novel	1
IV	1154649	1155005	complete_novel	2
V	432672	433196	known	10
IV	1154726	1160033	complete_novel	1
III	101634	101700	known	2
XVI	282141	282665	known	4
IV	308428	308792	known	4
XI	109578	109883	known	42
IV	117667	118157	known	2
VII	555831	556307	known	10
II	60194	60697	known	4
XV	867150	867586	known	15
XII	931350	931698	known	6
XII	795913	796335	complete_novel	1
XVI	138726	138864	known	9
XV	681903	682082	complete_novel	1
IV	322283	322703	known	16
XII	47887	48446	complete_novel	2
VII	920665	921119	known	2
XII	1018683	1018749	complete_novel	1
X	435228	435343	known	5
II	726918	727011	known	7
IX	316772	317171	known	1
XV	93842	94288	complete_novel	43
IV	239398	239508	complete_novel	20
XIII	550802	551203	known	1
II	407028	407122	known	3
IX	68716	69149	known	4
XIII	130048	130122	complete_novel	1
XIV	380686	380777	complete_novel	3
III	173116	173198	known	9
VIII	505248	505516	known	4
VII	727039	727357	known	10
XI	625902	625976	known	1
XVI	623578	623710	known	11
XII	1028869	1029252	known	6
IV	1156012	1161080	complete_novel	1
IV	491560	491898	known	4
II	332876	333386	known	7
VI	221004	222111	complete_novel	1
XIII	551952	552495	known	7
IV	1401801	1402184	known	2
III	107192	107287	known	8
IX	3996	4026	complete_novel	1
XI	437838	437905	known	3
XII	97338	97415	complete_novel	1
VI	115152	115181	complete_novel	3
XII	819331	819777	known	3
IV	1154872	1160182	complete_novel	1
IV	1134728	1140944	complete_novel	2
IV	1236843	1237608	known	3
VII	439094	439323	known	10
XI	551681	552002	known	1
II	369806	371977	complete_novel	1
IV	645774	651084	complete_novel	2
V	307747	307848	known	7
II	462430	462499	known	6
IV	733707	733774	complete_novel	1
XVI	173666	174072	known	2
XVI	850624	856554	complete_novel	3
XI	93367	93465	complete_novel	1
IV	216158	216489	complete_novel	8
X	156788	157247	complete_novel	4
IV	60479	61787	complete_novel	1
V	158994	159086	complete_novel	2
VII	497366	497458	known	1
IV	1359970	1360404	known	6
IV	652781	653523	complete_novel	8
VII	72989	73137	known	3
IV	1154991	1160301	complete_novel	3
IV	733703	733775	known	5
X	604430	604450	complete_novel	1
IV	601397	601459	complete_novel	1
V	307957	308067	known	9
XIII	99260	99375	known	1
II	604515	604927	known	1
XVI	97142	97431	complete_novel	1
VII	534474	534785	complete_novel	2
IX	196648	197023	complete_novel	3
VII	311016	311526	known	2
II	170677	170804	known	5
X	702799	703054	known	3
X	168366	168387	complete_novel	1
V	5613	5644	complete_novel	1
I	87388	87500	known	6
XII	327259	327399	known	4
II	127077	127205	complete_novel	1
XII	614183	614246	complete_novel	1
XVI	582557	582701	partial_novel	1
III	70917	71030	complete_novel	1
VIII	212009	212534	complete_novel	3
VIII	212603	214573	complete_novel	1
IV	1450458	1450846	known	2
XII	1036208	1036228	complete_novel	1
XV	778860	779386	known	1
IV	68120	68257	complete_novel	1
XIV	144083	144142	complete_novel	1
VII	437942	438397	complete_novel	1
IV	1154719	1160026	complete_novel	1
II	110880	110948	known	6
IX	127660	128147	complete_novel	4
X	75939	76324	known	3
XVI	75982	76219	complete_novel	10
IX	127660	133737	complete_novel	1
VII	400190	400302	complete_novel	1
XV	552666	552874	known	8
IV	1237534	1237608	partial_novel	2
IV	1154746	1160044	complete_novel	1
X	172413	172752	complete_novel	1
III	294240	294291	known	3
XIV	557611	557684	known	3
XIV	443827	444171	known	9
V	443818	449147	complete_novel	1
VI	223441	223771	complete_novel	2
XIV	272388	273601	complete_novel	6
IV	601000	601041	complete_novel	1
XVI	769715	774145	complete_novel	1
XIV	518427	518459	complete_novel	3
IV	1155748	1160990	complete_novel	1
XIV	64017	64448	complete_novel	4
VI	54196	54258	complete_novel	1
X	702226	702608	complete_novel	1
IV	1155320	1160276	complete_novel	1
VIII	148115	148664	complete_novel	5
VIII	251156	251248	known	2
XIII	559783	560157	complete_novel	2
IV	579479	580017	known	5
XVI	839773	851026	complete_novel	1
II	443706	443833	complete_novel	2
IV	217603	218007	known	1
II	45645	45977	complete_novel	1
V	81195	81218	complete_novel	2
V	396811	397281	known	15
XIII	103987	104080	complete_novel	1
VIII	138240	138407	complete_novel	1
II	426517	426873	known	1
IV	595951	596493	complete_novel	1
IX	38210	38273	complete_novel	1
XIV	519390	524955	complete_novel	1
XII	856575	857057	known	5
IV	307334	307765	known	1
IV	458018	458097	known	1
XII	898158	898645	complete_novel	3
II	344019	358202	complete_novel	1
XV	80361	80774	known	3
XVI	703534	703608	complete_novel	1
XII	548678	548763	known	2
IV	1154942	1160138	complete_novel	2
IV	601405	601449	complete_novel	2
IV	601642	601785	complete_novel	1
II	776382	785347	complete_novel	2
V	449630	449986	complete_novel	1
XII	468374	476371	complete_novel	1
IV	1154594	1159810	complete_novel	2
VIII	298361	298484	known	1
V	348202	348276	known	1
II	426494	426873	partial_novel	1
VIII	126552	127112	known	3
XV	476618	476659	complete_novel	1
XI	82999	83074	known	1
V	3672	3702	complete_novel	1
XIV	494525	494973	known	2
VII	804230	804598	complete_novel	2
XI	618375	618742	known	1
XVI	115219	115293	complete_novel	2
XIII	288911	289001	complete_novel	1
II	4728	4859	complete_novel	1
XII	459697	468531	complete_novel	1
XVI	377996	378389	known	5
VI	54032	54133	complete_novel	1
XV	592948	593323	complete_novel	1
XIV	147528	147607	complete_novel	1
IX	99093	99382	complete_novel	1
VI	63860	63973	known	1
IX	166435	166519	known	2
IX	348364	348494	known	1
XI	576490	576525	complete_novel	1
VII	543639	543721	known	2
Mito	60724	61866	complete_novel	1
IV	601100	601141	complete_novel	1
IV	1103810	1103892	known	1
XV	29178	30647	complete_novel	1
IV	1154905	1160038	complete_novel	1
III	271211	271474	complete_novel	1
V	149048	149344	complete_novel	1
VI	253728	254068	complete_novel	1
XVI	470325	475095	complete_novel	1
IV	877386	884754	complete_novel	1
IV	216162	216492	complete_novel	1
V	269752	270148	known	1
IX	256555	257026	known	1
XIII	206098	206203	known	1
XII	806709	806756	complete_novel	1
II	168425	168808	known	1
VII	477227	477592	complete_novel	2
XVI	911277	911352	known	1
XIII	123742	124156	complete_novel	1
II	35209	38813	complete_novel	1
XIII	225240	225338	known	1
IX	47070	47130	complete_novel	2
VII	568741	574368	complete_novel	1
IV	1154939	1160145	complete_novel	1
IX	87548	87699	complete_novel	1
XVI	678191	678276	complete_novel	2
X	73797	74204	known	2
IV	601579	612509	complete_novel	1
XVI	492919	493020	known	1
XII	650819	656743	complete_novel	1
III	177907	178213	known	3
XII	694383	694472	known	1
XV	92441	92830	known	2
IV	216162	216494	complete_novel	1
IX	155223	155310	complete_novel	1
XII	712725	713154	complete_novel	1
X	387349	387435	known	1
XII	202249	215477	complete_novel	1
IV	340811	341219	complete_novel	1
XI	618375	618526	partial_novel	1
VIII	315772	315858	known	1
XIV	62373	62923	known	2
II	414753	415258	complete_novel	1
V	131777	131899	known	1
II	372352	372387	complete_novel	1
IV	544681	544801	complete_novel	1
IV	1154427	1159663	complete_novel	1
IV	1212878	1212978	known	1
XVI	831366	831614	complete_novel	1
XIV	747327	756023	complete_novel	1
XVI	406647	407067	known	2
I	160567	160634	complete_novel	1
XVI	729386	729481	known	1
IX	231958	232366	known	1
